model_name,run_id,date,track,task_count,average_score,pass_rate,compile_rate,tool_run_success_rate,public_score,hidden_score,notes,commit_sha,evaluation_mode
baseline,dataset_20260613_102046,2026-06-13,all,6,1.0000,1.0000,,,,,baseline mode=solution,50d28b0,solution
baseline,dataset_20260613_102046,2026-06-13,p1_rtl_debug,1,1.0000,1.0000,,,,,baseline mode=solution,50d28b0,solution
baseline,dataset_20260613_102046,2026-06-13,p2_tb_sva_gen,1,1.0000,1.0000,,,,,baseline mode=solution,50d28b0,solution
baseline,dataset_20260613_102046,2026-06-13,p3_timing_report_qa,1,1.0000,1.0000,,,,,baseline mode=solution,50d28b0,solution
baseline,dataset_20260613_102046,2026-06-13,p4_spice_sim,1,1.0000,1.0000,,,,,baseline mode=solution,50d28b0,solution
baseline,dataset_20260613_102046,2026-06-13,p5_spice_deck_debug,1,1.0000,1.0000,,,,,baseline mode=solution,50d28b0,solution
baseline,dataset_20260613_102046,2026-06-13,p6_dc_synthesis_qa,1,1.0000,1.0000,,,,,baseline mode=solution,50d28b0,solution
baseline,dataset_20260613_102059,2026-06-13,all,6,0.2722,0.3333,,,,,baseline mode=buggy,50d28b0,buggy
baseline,dataset_20260613_102059,2026-06-13,p1_rtl_debug,1,0.7333,1.0000,,,,,baseline mode=buggy,50d28b0,buggy
baseline,dataset_20260613_102059,2026-06-13,p2_tb_sva_gen,1,0.2000,0.0000,,,,,baseline mode=buggy,50d28b0,buggy
baseline,dataset_20260613_102059,2026-06-13,p3_timing_report_qa,1,0.0000,0.0000,,,,,baseline mode=buggy,50d28b0,buggy
baseline,dataset_20260613_102059,2026-06-13,p4_spice_sim,1,0.6000,1.0000,,,,,baseline mode=buggy,50d28b0,buggy
baseline,dataset_20260613_102059,2026-06-13,p5_spice_deck_debug,1,0.1000,0.0000,,,,,baseline mode=buggy,50d28b0,buggy
baseline,dataset_20260613_102059,2026-06-13,p6_dc_synthesis_qa,1,0.0000,0.0000,,,,,baseline mode=buggy,50d28b0,buggy
