category,value,count
template,arbiter,8
template,counter,12
template,edge_detector,8
template,fifo_status,8
template,fsm,12
template,handshake,12
template,mux2,13
template,priority_encoder,12
template,pulse_detector,8
template,valid_ready_fsm,8
mutant_name,data_not_captured,6
mutant_name,data_not_latched,4
mutant_name,empty_inverted,4
mutant_name,enable_inverted,6
mutant_name,fixed_priority,4
mutant_name,grant_two_bits,4
mutant_name,missing_busy,6
mutant_name,missing_pulse,4
mutant_name,off_by_one,6
mutant_name,ready_inverted,10
mutant_name,registered_output,4
mutant_name,reversed_priority,6
mutant_name,rising_falling_swapped,4
mutant_name,select_swapped,7
mutant_name,stuck_at_zero,6
mutant_name,wrong_edge,4
mutant_name,wrong_encoding,6
mutant_name,wrong_threshold,4
mutant_name,wrong_transition,6
