task_id,track,tool,difficulty,data_type,evaluator,scoring_type,task_dir,generator,prompt_path,visible_files_count,hidden_files_count,has_oracle,bug_type,question_type,template,mutant_name,expected_error_category,p3_source,backend
dc_constraint_0000,p6_dc_constraint_debug,dc,easy,template_synthetic,dc_constraint_debug.DCConstraintDebugEvaluator,constraint_pass:0.6|execution_pass:0.3|explanation:0.1,p6_dc_constraint_debug/generated/dc_constraint_0000,p6_dc_constraint_debug_gen.py,p6_dc_constraint_debug/generated/dc_constraint_0000/prompt.md,4,2,True,missing_clock,,,,missing_clock,,dc
dc_constraint_0000,p6_dc_constraint_debug,dc,easy,template_synthetic,dc_constraint_debug.DCConstraintDebugEvaluator,constraint_pass:0.6|execution_pass:0.3|explanation:0.1,p6_dc_constraint_debug/smoke,manual,p6_dc_constraint_debug/smoke/prompt.md,4,2,True,missing_clock,,,,missing_clock,,dc
dc_constraint_0001,p6_dc_constraint_debug,dc,easy,template_synthetic,dc_constraint_debug.DCConstraintDebugEvaluator,constraint_pass:0.6|execution_pass:0.3|explanation:0.1,p6_dc_constraint_debug/generated/dc_constraint_0001,p6_dc_constraint_debug_gen.py,p6_dc_constraint_debug/generated/dc_constraint_0001/prompt.md,4,2,True,wrong_port_name,,,,wrong_port_name,,dc
dc_constraint_0002,p6_dc_constraint_debug,dc,medium,template_synthetic,dc_constraint_debug.DCConstraintDebugEvaluator,constraint_pass:0.6|execution_pass:0.3|explanation:0.1,p6_dc_constraint_debug/generated/dc_constraint_0002,p6_dc_constraint_debug_gen.py,p6_dc_constraint_debug/generated/dc_constraint_0002/prompt.md,4,2,True,invalid_get_ports,,,,invalid_get_ports,,dc
dc_constraint_0003,p6_dc_constraint_debug,dc,hard,template_synthetic,dc_constraint_debug.DCConstraintDebugEvaluator,constraint_pass:0.6|execution_pass:0.3|explanation:0.1,p6_dc_constraint_debug/generated/dc_constraint_0003,p6_dc_constraint_debug_gen.py,p6_dc_constraint_debug/generated/dc_constraint_0003/prompt.md,4,2,True,wrong_top_module,,,,wrong_top_module,,dc
dc_constraint_0004,p6_dc_constraint_debug,dc,easy,template_synthetic,dc_constraint_debug.DCConstraintDebugEvaluator,constraint_pass:0.6|execution_pass:0.3|explanation:0.1,p6_dc_constraint_debug/generated/dc_constraint_0004,p6_dc_constraint_debug_gen.py,p6_dc_constraint_debug/generated/dc_constraint_0004/prompt.md,4,2,True,syntax_error,,,,syntax_error,,dc
dc_constraint_0005,p6_dc_constraint_debug,dc,medium,template_synthetic,dc_constraint_debug.DCConstraintDebugEvaluator,constraint_pass:0.6|execution_pass:0.3|explanation:0.1,p6_dc_constraint_debug/generated/dc_constraint_0005,p6_dc_constraint_debug_gen.py,p6_dc_constraint_debug/generated/dc_constraint_0005/prompt.md,4,2,True,unsupported_command,,,,unsupported_command,,dc
dc_constraint_0006,p6_dc_constraint_debug,dc,easy,template_synthetic,dc_constraint_debug.DCConstraintDebugEvaluator,constraint_pass:0.6|execution_pass:0.3|explanation:0.1,p6_dc_constraint_debug/generated/dc_constraint_0006,p6_dc_constraint_debug_gen.py,p6_dc_constraint_debug/generated/dc_constraint_0006/prompt.md,4,2,True,missing_clock,,,,missing_clock,,dc
dc_constraint_0007,p6_dc_constraint_debug,dc,easy,template_synthetic,dc_constraint_debug.DCConstraintDebugEvaluator,constraint_pass:0.6|execution_pass:0.3|explanation:0.1,p6_dc_constraint_debug/generated/dc_constraint_0007,p6_dc_constraint_debug_gen.py,p6_dc_constraint_debug/generated/dc_constraint_0007/prompt.md,4,2,True,wrong_port_name,,,,wrong_port_name,,dc
dc_constraint_0008,p6_dc_constraint_debug,dc,medium,template_synthetic,dc_constraint_debug.DCConstraintDebugEvaluator,constraint_pass:0.6|execution_pass:0.3|explanation:0.1,p6_dc_constraint_debug/generated/dc_constraint_0008,p6_dc_constraint_debug_gen.py,p6_dc_constraint_debug/generated/dc_constraint_0008/prompt.md,4,2,True,invalid_get_ports,,,,invalid_get_ports,,dc
dc_constraint_0009,p6_dc_constraint_debug,dc,hard,template_synthetic,dc_constraint_debug.DCConstraintDebugEvaluator,constraint_pass:0.6|execution_pass:0.3|explanation:0.1,p6_dc_constraint_debug/generated/dc_constraint_0009,p6_dc_constraint_debug_gen.py,p6_dc_constraint_debug/generated/dc_constraint_0009/prompt.md,4,2,True,wrong_top_module,,,,wrong_top_module,,dc
dc_constraint_0010,p6_dc_constraint_debug,dc,easy,template_synthetic,dc_constraint_debug.DCConstraintDebugEvaluator,constraint_pass:0.6|execution_pass:0.3|explanation:0.1,p6_dc_constraint_debug/generated/dc_constraint_0010,p6_dc_constraint_debug_gen.py,p6_dc_constraint_debug/generated/dc_constraint_0010/prompt.md,4,2,True,syntax_error,,,,syntax_error,,dc
dc_constraint_0011,p6_dc_constraint_debug,dc,medium,template_synthetic,dc_constraint_debug.DCConstraintDebugEvaluator,constraint_pass:0.6|execution_pass:0.3|explanation:0.1,p6_dc_constraint_debug/generated/dc_constraint_0011,p6_dc_constraint_debug_gen.py,p6_dc_constraint_debug/generated/dc_constraint_0011/prompt.md,4,2,True,unsupported_command,,,,unsupported_command,,dc
p3_timing_000000,p3_timing_report_qa,pt,easy,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/smoke,handcrafted,p3_timing_report_qa/smoke/prompt.md,2,0,True,,wns,,,,synthetic,pt
p3_timing_000001,p3_timing_report_qa,pt,easy,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000001,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000001/prompt.md,2,0,True,,wns,,,,synthetic,pt
p3_timing_000002,p3_timing_report_qa,pt,easy,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000002,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000002/prompt.md,2,0,True,,tns,,,,synthetic,pt
p3_timing_000003,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000003,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000003/prompt.md,2,0,True,,worst_endpoint,,,,synthetic,pt
p3_timing_000004,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000004,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000004/prompt.md,2,0,True,,worst_startpoint,,,,synthetic,pt
p3_timing_000005,p3_timing_report_qa,pt,easy,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000005,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000005/prompt.md,2,0,True,,violating_paths,,,,synthetic,pt
p3_timing_000006,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000006,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000006/prompt.md,2,0,True,,path_group,,,,synthetic,pt
p3_timing_000007,p3_timing_report_qa,pt,medium,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000007,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000007/prompt.md,2,0,True,,clock_name,,,,synthetic,pt
p3_timing_000008,p3_timing_report_qa,pt,hard,template_synthetic,timing_report_qa.TimingReportQAEvaluator,answer_match:1.0,p3_timing_report_qa/generated/p3_timing_000008,p3_timing_report_qa_gen.py,p3_timing_report_qa/generated/p3_timing_000008/prompt.md,2,0,True,,required_time,,,,synthetic,pt
