track,display_name,count
p10_synthetic_project,p10_synthetic_project,6
p11_flow_handoff,p11_flow_handoff,2
p12_multifact_handoff,p12_multifact_handoff,1
p13_trajectory_handoff,p13_trajectory_handoff,1
p14_workflow_handoff,p14_workflow_handoff,2
p1_rtl_debug,P1 RTL Debug,1001
p2_tb_sva_gen,P2 Testbench/SVA Gen,101
p3_timing_report_qa,P3 Timing Report QA,1008
p4_spice_sim,P4 SPICE Sim,349
p5_spice_deck_debug,P5 SPICE Deck Debug,100
p6_dc_constraint_debug,P6 DC Constraint Debug,61
p6_dc_synthesis_qa,P6 DC Synthesis QA,51
p7_primetime_sta_debug,P7 PrimeTime STA Debug,53
p7_spyglass_lint_debug,P7 SpyGlass Lint Debug,50
p8_pnr_report_qa,P8 PnR Report QA,101
p9_pt_exception_debug,P9 PrimeTime Exception Debug,17
